week_monday,total_tokens,snapshot_src
2024-03-04,18615617242,20250303
2024-03-11,29398203447,20250303
2024-03-18,34942495171,20250303
2024-03-25,38336306900,20250303
2024-04-01,40522039233,20250303
2024-04-08,46726628193,20250303
2024-04-15,52139696510,20250303
2024-04-22,59682164027,20250303
2024-04-29,51692212693,20250303
2024-05-06,54989845783,20250303
2024-05-13,49156892310,20250303
2024-05-20,47956250871,20250303
2024-05-27,52285670375,20250303
2024-06-03,52705971508,20250303
2024-06-10,54382607505,20250303
2024-06-17,62565439239,20250303
2024-06-24,74174810174,20250303
2024-07-01,68887958023,20250303
2024-07-08,81504643613,20250303
2024-07-15,91627751716,20250303
2024-07-22,95374179639,20250303
2024-07-29,91745395872,20250303
2024-08-05,99524357123,20250303
2024-08-12,111214745315,20250303
2024-08-19,105077981377,20250303
2024-08-26,108679851703,20250303
2024-09-02,130693308788,20250303
2024-09-09,149216747248,20250303
2024-09-16,162553069547,20250303
2024-09-23,162363924832,20250303
2024-09-30,156980318189,20250303
2024-10-07,171244805840,20250303
2024-10-14,148193736241,20250303
2024-10-21,162049123649,20250303
2024-10-28,204535705306,20250303
2024-11-04,237088559944,20250303
2024-11-11,284261421774,20250303
2024-11-18,316295729995,20250303
2024-11-25,314424239160,20250303
2024-12-02,289358113387,20250303
2024-12-09,346614739295,20250303
2024-12-16,337710339257,20250303
2024-12-23,326841780269,20250303
2024-12-30,377710499711,20250303
2025-01-06,463993532478,20250303
2025-01-13,481476842855,20250303
2025-01-20,480973267372,20250303
2025-01-27,508856991468,20250303
2025-02-03,670373011199,20250303
2025-02-10,754002756116,20250303
2025-02-17,917754963798,20250303
2025-02-24,1055582261895,20250303
2025-03-03,1235444125410,20260302
2025-03-10,1418968721115,20260302
2025-03-17,1469668058419,20260302
2025-03-24,1619750528536,20260302
2025-03-31,2034882147576,20260302
2025-04-07,2183122391337,20260401
2025-04-14,1778668570114,20260401
2025-04-21,1763463924242,20260401
2025-04-28,1802950012160,20260401
2025-05-05,2130013097588,20260501
2025-05-12,2155262266704,20260501
2025-05-19,2367972126522,20260501
2025-05-26,2498109522494,20260501
2025-06-02,2365369818784,20260501
2025-06-09,2086419870669,20260501
2025-06-16,2254891548607,20260501
2025-06-23,2358676377433,20260501
2025-06-30,2109904918005,20260501
2025-07-07,2371698795227,20260501
2025-07-14,2594244211049,20260501
2025-07-21,2996484498506,20260501
2025-07-28,3408085282012,20260501
2025-08-04,3431226249807,20260501
2025-08-11,3203655139703,20260501
2025-08-18,3207415603183,20260501
2025-08-25,3725245731901,20260501
2025-09-01,4599726264442,20260501
2025-09-08,4897473678785,20260501
2025-09-15,4917372773961,20260501
2025-09-22,5257980070812,20260501
2025-09-29,5380323659290,20260501
2025-10-06,5019711272244,20260501
2025-10-13,4644497398186,20260501
2025-10-20,4886312194357,20260501
2025-10-27,5511159006188,20260501
2025-11-03,5828207285497,20260501
2025-11-10,5927714421614,20260501
2025-11-17,6271832101668,20260501
2025-11-24,7184885909341,20260501
2025-12-01,6183689082546,20260501
2025-12-08,5772746635719,20260501
2025-12-15,5840500610903,20260501
2025-12-22,5664949208500,20260501
2025-12-29,5566541388683,20260501
2026-01-05,6419683711082,20260501
2026-01-12,7643272557692,20260501
2026-01-19,7493679593018,20260501
2026-01-26,8249934351918,20260501
2026-02-02,9804326929861,20260501
2026-02-09,13014630127221,20260501
2026-02-16,13947727801492,20260501
2026-02-23,13615671203983,20260501
2026-03-02,14809516716308,20260501
2026-03-09,16903381146109,20260501
2026-03-16,20350309854304,20260501
2026-03-23,22729837178338,20260501
2026-03-30,27038504132444,20260501
2026-04-06,21035685456873,20260501
2026-04-13,20558096445717,20260501
2026-04-20,21952515720803,20260501
